,terms,titles,pageids
655,fast food,"['Fast food', 'Fast food restaurant', 'Criticism of fast food', 'Junk food', 'Disposable food packaging', 'Food processing', 'Food desert', 'Food studies', 'Food truck', 'Food prices', 'Fasting', 'Nativity Fast', 'Food', 'Convenience food', 'Food cart', 'Food truck rally', 'Fast', 'Social class differences in food consumption', 'Black Fast', 'Chicken nugget', 'Fasting in Jainism', 'Fast of the Firstborn', 'Fasting in Islam', 'Index of sociology of food articles', 'Fast offering', 'Food marketing', 'Chicken as food', 'Rudd Center for Food Policy and Obesity', 'Fasting and abstinence in the Catholic Church', 'Frozen food']","['8641291', '5741239', '479805', '382599', '31589792', '22101777', '1899768', '360101', '54923', '1870228', '1276547', '187886', '4376005', '1511936', '7108438', '10646', '7670005', '9677389', '8788317', '50745280', '602960', '21551874', '1326380', '42366259', '339605', '15760048', '64083', '3345949', '5062324', '32836040']"
656,burger,"['Burger King premium burgers', 'The Burger King', 'Good Burger', 'Burger King products', 'Burger King legal issues', 'Rice burger', 'Ninja Burger', 'Ramly Group', 'Burger King breakfast sandwiches', 'Whopper', 'Burger King fish sandwiches', 'Ass Burgers', 'Big Belly Burger', 'Heart Attack Grill']","['33320347', '42165489', '46476718', '46820025', '16897499', '9074773', '10781932', '230536', '20733981', '682345', '3198986', '38818394', '2116850', '565704']"
657,fine dining,"['Dining in', 'DineLA Restaurant Week', 'State Dining Room of the White House', 'SkyCity', 'Sommelier', 'Namba Parks', 'Horseshoe Casino Tunica', 'Nicanor Garcia Street', 'Food away from home', 'Kosher restaurant']","['40309008', '4553564', '31880282', '8543784', '16582619', '640250', '40800428', '9454416', '585371', '4931301']"
658,pizzeria,"['Spumoni Gardens', 'Pizza Corner', 'Suva Reka massacre', 'National Pizza Month', 'Klenovica', 'Rade Kotur', 'Pagliacci Pizza', 'Tallboda', 'Pizza delivery', 'Wolfgang Puck']","['28459206', '44123864', '7185991', '11993020', '1668848', '19634175', '31307707', '8871747', '32605075', '1039323']"
659,game,"['Game', 'Gamer', 'Game design', 'PC game', 'Game theory', 'Game engine', 'Platform game', 'Video game console', 'Video game', 'Online game', 'Fighting game', 'Handheld game console', 'Sports game', 'Video game programmer', 'Video game industry', 'Game show', 'Game testing', 'Video game design', 'Game over', 'Rhythm game', 'Game Boy Player', 'Game programming', 'Puzzle video game', 'Indie game', 'Video game producer', 'Game Developers Conference', 'Browser game', 'Mobile game', 'Multiplayer game', 'Arcade game']","['49827', '488438', '32398', '18723138', '433210', '469631', '42434747', '170581', '1174091', '773853', '13135', '3242208', '11924', '182053', '14199', '13056029', '1133784', '15079291', '1050944', '1336512', '32394', '32393', '939218', '387562', '5363', '32629', '473526', '372478', '564661', '311632']"
660,arcade and coin-op game,"['Arcade game', 'Arcade cabinet', 'Arcade controller', 'Nutting Associates', 'SegaWorld', 'Air Combat', 'Cosmic Chasm', 'Coinslot', 'Razorworks', 'Forgotten Worlds', 'Virtua Racing', 'Crazy Taxi', 'Super Street Fighter II', 'Glossary of video game terms']","['2146414', '961381', '2436142', '49827', '2709174', '16724249', '165155', '4259258', '41568624', '963899', '17443605', '5557654', '707510', '1144991']"
661,board game,"['Board game', 'BoardGameGeek', 'Glossary of board games', 'Cooperative board game', '3M bookshelf game series', 'Game complexity', 'Reversi', 'Strategy game', 'Game design', 'Gaming convention', 'Party game', 'Adventure board game', 'Escape from Atlantis', 'Hare games']","['12332896', '7407508', '1972411', '3401', '2220582', '1067915', '317419', '42434747', '2211331', '46506826', '18602352', '75779', '25978', '53680']"
662,chess and abstract strategy game,"['Abstract strategy game', 'Strategy game', 'Strategy video game', 'Courier chess', 'Chess piece', 'Infinite chess', 'Eurogame', 'Solved game', 'Game theory', 'Icehouse pieces', 'Game design', 'Programming game', 'Glossary of board games', 'Arimaa', 'Ataxx', 'Zillions of Games', 'Wargaming', 'Hare games', 'Stratego', 'Libro de los juegos', 'United Square', 'Computer Olympiad', 'Reversi', 'Threefold repetition', 'Go variants', 'Ludus latrunculorum', 'Gess', 'Kamisado', 'Fog of war', 'Connect6']","['564678', '452582', '382574', '47618', '64187', '3209983', '22770636', '12609', '309664', '42434747', '11924', '3654542', '46506826', '6795316', '18602352', '179196', '53659697', '19817029', '18234', '2254999', '1057551', '25978', '63763', '28971', '53680', '14876738', '557112', '41197528', '33105', '18935022']"
663,miniature and wargaming,"['Miniature wargaming', 'Wargaming', 'Air wargaming', 'Wargames Illustrated', 'Wargames Factory', 'History of Wargaming Project', 'Miniature conversion', 'Board wargame', 'Ex illis', 'Tractics', 'Grand strategy wargame', 'Privateer Press', 'Gaming convention', 'Scale model', 'Block wargame', '1:32 scale', 'Paddy Griffith', 'Society of Fantasy and Science Fiction Wargamers', 'Static grass', 'House rule', 'Aeronautica Imperialis', 'Fistful of TOWs', 'Battlesystem', 'Midwest Military Simulation Association', 'Mantic Games', 'The War of the Ring Online Campaign', 'Pyrkon', 'Combat Assault Vehicle', 'Reamsa', 'Wings of War']","['7536769', '7697805', '12088490', '2589539', '3987093', '17911286', '4645112', '40684599', '851866', '2211331', '10635004', '42032036', '1819254', '49023707', '5054166', '1745668', '284670', '25564765', '1394513', '36993748', '52739517', '297672', '8809177', '4586431', '3523705', '5003826', '23160431', '41701165', '33105', '9005184']"
664,card game,"['Card game', 'Catan Card Game', 'Nintendo game card', 'Rummy', '24 Game', 'Glossary of card game terms', 'Card sleeve', 'Card advantage', 'Memory card', 'Spoons']","['5445272', '11012499', '5360', '4457628', '8319642', '30826125', '212855', '26935007', '1183874', '226503']"
665,collectible card game,"['Card sleeve', 'Doomtown', 'Card advantage', 'Card game', 'Proxy card', 'Trading card', 'Epic Card Game', 'Legend of the Five Rings', 'Sancak Beyi', 'Infinite Armies', 'Catan Card Game']","['11012499', '5360', '4457628', '8319642', '767719', '49590484', '8163543', '765172', '5238783', '33103905', '273753']"
666,computer and video game,"['Video game', 'Video game industry', 'Video game development', 'Video game packaging', 'PC game', 'Video game console', 'Strategy video game', 'Video game design', 'Puzzle video game', 'Video game remake', 'Video game addiction', 'Multiplayer video game', 'Cheating in video games', 'Gaming computer', 'Video game content rating system', 'Video game controversies', 'Video game graphics', 'Video game walkthrough', 'Sex and nudity in video games', 'Video game producer', 'Video game art', 'Video game developer', 'Video game monetization', 'Video game collecting', 'Online game', 'Video game programmer', 'Video game console emulator', 'Music video game', 'Glossary of video game terms', 'Sixth generation of video game consoles']","['8544406', '3879451', '41568624', '350680', '501568', '1050944', '1336512', '32393', '1730610', '490610', '14876738', '5363', '2292497', '455403', '4577333', '32629', '18934755', '10858841', '19220448', '473526', '32399', '700265', '25255027', '372478', '48449792', '1890023', '564661', '311632', '293077', '53265643']"
667,action and platform game,"['Platform game', 'Rhythm game', 'InstantAction', 'Video game', 'Handheld video game', 'Puzzle video game', 'GameMaker Studio', 'Gamer', 'Independent video game development', 'Video game genre', 'Game Boy Advance', 'Fighting game', 'Online game', 'Mac gaming', 'Super Action Hero', 'Glossary of video game terms', 'ActionScript', 'Social gaming', 'Kart racing game', 'Shooter game']","['519691', '32398', '555154', '12430', '182053', '41568624', '2655957', '1911192', '18078680', '44573100', '4705441', '1050944', '32394', '32393', '939218', '619273', '10312080', '25956037', '5363', '516397']"
668,adventure game,"['Adventure Game Studio', 'Platform game', 'Interactive fiction', 'Adventure film', 'Adventure board game', 'Interactive movie']","['997243', '7407508', '871086', '14789', '1441691', '32394']"
669,casual game,"['Gamer', 'Casual dating', 'Massively multiplayer online game', 'Gamezebo', 'QQ Games', 'HipSoft', 'Video game publisher', 'Vehicle simulation game', 'Lamagama Entertainment', 'Game testing', 'The UnderGarden', 'Indie game', 'Video game developer', 'Browser game', 'Legends of Zork', 'Game programming', 'Video game development', 'Lady Popular', 'Amazon Game Studios', 'Strategy game', 'Video game artist', 'Video game producer', 'Fighting game', 'Wadjet Eye Games', 'Desktop Tower Defense', 'Dhruva Interactive', 'FUN Technologies', 'Video game programmer', 'Microsoft Entertainment Pack', 'Game mechanics']","['52621460', '488438', '11444067', '12360576', '21159715', '23099703', '32398', '1012146', '773853', '3242208', '182053', '13490654', '16190242', '13056029', '45236768', '36217700', '22258281', '529056', '19360192', '22644295', '53680', '33163439', '14653099', '1133087', '32399', '700265', '564661', '311632', '101812', '9482022']"
670,driving and racing game,"['Racing video game', 'Kart racing game', 'Logitech Driving Force GT', 'Vehicle simulation game', 'Racing wheel', 'NASCAR Racing', 'Viper Racing', 'Game controller', 'Team Racing', 'Dirt Track Racing 2', 'LA Street Racing', 'Massively multiplayer online game', 'Minigame', 'Logitech G25', 'Demolition Racer', 'Forza Motorsport 3', 'Game engine', 'Top Gear', 'Geoff Crammond', 'Wreckfest']","['23572931', '10307902', '18169786', '104339', '170581', '1113270', '44573100', '11604487', '16026977', '8027355', '529056', '516452', '6256842', '306085', '23540543', '3670687', '2575018', '14653099', '6052727', '42071573']"
671,fighting game,"['Fighting game community', 'Final Fight', 'Glove on Fight', 'Fighting in ice hockey', 'Final Fight 3', 'Sports game', 'Fight Night Round 4', 'Dog fighting', 'Action game', 'Ultraman Fighting Evolution 3', 'Dynasty Warriors 2', 'Shooter game', 'Modern Game fowl', 'Game mechanics', 'Video game clone', 'Five for Fighting', 'Stealth game']","['417849', '305835', '2146726', '17935516', '41763768', '568048', '37730894', '990931', '660689', '1012146', '30872516', '17628425', '619273', '387562', '245390', '24514423', '1968876']"
672,gaming medium and reference,"['Video game journalism', 'Video game console', 'Console game', 'Video game addiction', 'DS', 'Angry Video Game Nerd', 'Sixth generation of video game consoles', 'Fast bowling', 'Video game art', 'Women and video games', 'No Game No Life', 'Video game controversies', 'Vehicle simulation game', 'Glitch', 'Arcade game', 'Home video game console', 'Blue Wizard Is About To Die!', 'Gamergate controversy', 'Icehouse pieces', 'Video game monetization', 'Video games as an art form', 'Super Columbine Massacre RPG!', 'Film adaptation', 'Video game writer', 'Blue Marble Game', 'Media franchise', 'Nonviolent video game', 'The Lord of the Rings Strategy Battle Game', 'Religion and video games', 'Pong']","['13981266', '49827', '23503737', '9261852', '392690', '426176', '678695', '1851712', '43758363', '310005', '27048792', '179196', '3592846', '40089475', '19777897', '24947', '49050369', '490610', '5219137', '1739541', '14653099', '2292497', '455403', '32629', '19220448', '44383806', '48449792', '44273684', '7763396', '2849654']"
673,game cheat and hint,"['Chess', 'Chutney', 'Rootha Na Karo', 'Duryodhana', 'Looteri Dulhan', 'Dil Bole Hadippa!', 'Chess piece', 'Supa Strikas', 'Glossary of cricket terms', 'Shoaib Akhtar', 'Raat Hone Ko Hai', 'Cheetah', 'Best Friends Forever?']","['37984170', '45609', '5134', '47618', '193430', '18771923', '580213', '463755', '31262517', '31871809', '20579778', '533467', '19613891']"
674,music and dance game,"['Music video game', 'Electronic dance music', 'Comparison of dance pad video games', 'Dagbon music and dance', 'Sequence dance', 'Pole dance', 'APM Music']","['26691015', '1680111', '41306455', '2924002', '501568', '19337262', '2897219']"
675,shooter game,"['Shooter game', 'Tactical shooter', 'Video game genre', 'Light gun shooter', 'ShootMania Storm', 'Stealth game', 'Carnival game', 'Shooting', 'Multiplayer video game']","['9051857', '16693228', '350680', '29081117', '619273', '28495', '245390', '133295', '516397']"
676,simulation game,"['Simulation video game', 'Vehicle simulation game', 'Government simulation game', 'Business simulation game', 'Life simulation game', 'Construction and management simulation', 'Space flight simulation game', 'Social simulation game', 'Simulations and games in economics education', 'Business simulation', 'Simulation', 'Game physics', 'Training simulation', 'Business game', 'God game', 'Amateur flight simulation', 'Project management simulation', 'Military simulation', 'Roleplay simulation', 'Simulation hypothesis', 'Intercultural simulation', 'Combat flight simulator', 'Instructional simulation', 'Medical simulation', 'Fantasy sports stock simulation', 'Digital pet', 'Backflip Studios', 'Science Horizons Survival', 'Dynamical simulation', 'Industry Giant II']","['26012217', '25548816', '21484189', '4032051', '4171371', '1880126', '14166739', '242602', '779587', '4649176', '2509524', '340116', '1651321', '9101010', '20856654', '49227213', '4203400', '20489338', '10280894', '20274682', '2589050', '1380264', '43444', '9912495', '378915', '19133673', '16342800', '17431092', '30518856', '14653099']"
677,business and tycoon game,"['Business simulation game', 'Zoo Tycoon', 'Zoo Tycoon (2001 video game)', 'Mall Tycoon', 'RollerCoaster Tycoon', 'Prison Tycoon', 'RollerCoaster Tycoon (video game)', 'Airport Tycoon', 'Railroad Tycoon (series)', 'Transport Tycoon', 'Monopoly Tycoon', 'Geniu$: The Tech Tycoon Game', 'Railroad Tycoon', 'Pizza Tycoon', 'DinoPark Tycoon', 'Airline Tycoon', ""Donald Trump's Real Estate Tycoon"", 'Zoo Tycoon (2013 video game)', 'Zoo Tycoon DS', 'Zoo Tycoon 2', 'Lemonade Tycoon', 'Railroad Tycoon II', 'RollerCoaster Tycoon World', 'Fast Food Tycoon', 'Big Biz Tycoon', 'Tycoon City: New York', 'Game Dev Tycoon', 'Railroad Tycoon 3', 'Eco Tycoon: Project Green', 'Fish Tycoon']","['4286484', '2683761', '4755375', '4171371', '5340722', '12688746', '31856424', '3598604', '7802826', '39314961', '31905429', '2066117', '3552533', '1924106', '1708582', '6444906', '10543469', '252980', '3012041', '3012034', '527699', '4769139', '29447505', '463876', '5085849', '11463651', '2309926', '39745663', '2967411', '4456386']"
678,city building game,"['Lincity', 'Government simulation game', 'StarPeace', 'SimCity Social', 'Business simulation game', 'CBS Television City', 'Game', 'Arcology', 'City Game', 'Game design', 'Sports game', 'Vehicle simulation game', 'Citybound', 'Racing video game', 'God game', 'Elasund', 'Tower Bloxx', '550 Madison Avenue', 'Massively multiplayer online game', 'Video game', 'Emerald City', 'Video game console', 'Video game graphics', 'Outpost Kaloki X', 'Catan Card Game', 'Video game industry', 'Game of Thrones title sequence', 'Garden City Community College']","['5375194', '2193', '4171371', '1637993', '8319642', '20533045', '52924823', '4625275', '423872', '18723138', '42434747', '39550518', '20204320', '340116', '1651321', '1931059', '529056', '3547735', '306085', '36039577', '387562', '3448431', '11821576', '14653099', '5363', '32629', '25255027', '372478']"
679,life simulation game,"['Life simulation game', 'Simulation video game', 'Vehicle simulation game', 'Government simulation game', 'Business simulation game', 'Social simulation game', 'Construction and management simulation', 'Space flight simulation game', 'Simulation', 'God game', 'Amateur flight simulation', 'Disney Magical World 2', 'Training simulation', 'Military simulation', 'Roleplay simulation', 'Simulation hypothesis', 'Science Horizons Survival', 'Instructional simulation', 'Medical simulation', 'Digital pet', 'The Sims Life Stories', 'Bird Week', 'Combat flight simulator', 'Social simulation', 'Game server', 'Intercultural simulation', 'Simulation in manufacturing systems', 'Crowd simulation', 'Cosmonautica', 'Wargaming']","['26012217', '10807395', '4171371', '1880126', '14166739', '52568911', '886876', '242602', '47167221', '3505526', '340116', '1651321', '20856654', '49227213', '4203400', '20489338', '10280894', '2589050', '1380264', '43444', '9912495', '50048068', '378915', '387746', '16342800', '17431092', '8493144', '30518856', '14653099', '33105']"
680,vehicle simulator,"['Vehicle simulation game', 'Driving simulator', 'Farming Simulator', 'Motion simulator', 'Braitenberg vehicle', 'Combat flight simulator', 'Microsoft Flight Simulator', 'Advanced disaster management simulator', 'Simulator sickness', 'Virtual Sailor', 'ESD simulator', 'Vehicle dynamics', 'Lunar Landing Research Vehicle', 'Body Wars', 'Simulation', 'SIMNET', 'Space flight simulation game', 'Sim racing', 'Enhanced motion vehicle', 'Hydrogen vehicle', 'Simulation video game', 'Space Shuttle Project', 'Wirth Research', 'Life simulation game', 'Global Industrial Defence Solutions', 'RFactor', 'VDrift', 'Methods of virtual reality', 'TORCS', 'Acceleration onset cueing']","['10746888', '28832428', '7912154', '16263779', '1880126', '985187', '22250817', '26895206', '40648600', '39218938', '188545', '4203400', '847349', '1777995', '159994', '1942022', '2487079', '3602387', '787650', '43444', '378915', '42489868', '1564963', '17431092', '1406931', '8674279', '180624', '14653099', '2610687', '23191928']"
